stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share,Closing Price Before Release,Closing Price After Release,Price Change (%),Quarterly Returns,Quarter_label
AAPL,2023-12-31,119575,54855,40373,40323,33916,33916,43221,40373,15577,2.18,353514,279414,74100,11237,1.0725,45.875,28.3638,33.7637,45.7706,9.594,20.0463,2.4076,192.53,185.64,-3.578663065496294,-0.03578663065496294,2023Q4
AAPL,2023-09-30,89498,40427,26969,26998,22956,22956,29622,26969,15813,1.47,352583,290437,62146,839,0.988,45.1708,25.6497,30.1336,36.9388,6.5108,14.582,1.217,171.21,173.75,1.4835582033759664,0.014835582033759663,2023Q3
AAPL,2023-06-30,81797,36413,22998,22733,19881,19881,26050,22998,15775,1.26,335038,274764,60274,2769,0.9816,44.5163,24.3053,28.116,32.9844,5.934,12.5555,1.5557,189.59,192.46,1.5137929215675956,0.015137929215675956,2023Q2
AAPL,2023-03-31,94836,41976,28318,28382,24160,24160,31216,28318,15847,1.52,332160,270002,62158,5155,0.9404,44.2617,25.4756,29.86,38.8687,7.2736,15.176,1.6312,162.36,166.17,2.3466371027346478,0.023466371027346476,2023Q1
AAPL,2022-12-31,117154,50332,36016,35623,29998,29998,38932,36016,15956,1.88,346747,290020,56727,-3003,0.938,42.9623,25.6056,30.7424,52.8813,8.6513,19.186,1.8939,129.93,125.07,-3.740475640729634,-0.03740475640729634,2022Q4
AAPL,2022-09-30,90146,38095,24894,24657,20721,20721,27759,24894,16326,1.29,352755,302083,50672,-3884,0.8794,42.2592,22.9861,27.6152,40.8924,5.874,13.8481,1.2547,142.48,142.45,-0.021055586749018206,-0.00021055586749018206,2022Q3
AAPL,2022-06-30,82959,42559,23076,23066,19442,19442,25881,23076,16262,1.2,336309,278202,58107,-319,0.8646,43.2563,23.4357,27.8162,33.459,5.781,12.7232,1.3253,139.23,138.93,-0.21547080370608562,-0.002154708037060856,2022Q2
AAPL,2022-03-31,97278,54243,29979,30139,25010,25010,32716,29979,16403,1.52,350662,283263,67399,-9450,0.9268,43.7499,25.7098,30.8179,37.1074,7.1322,14.6496,1.5828,177.77,174.31,-1.9463351521629115,-0.019463351521629115,2022Q1
AAPL,2021-12-31,123945,35174,41488,41241,34630,34630,44186,41488,16519,2.1,381191,309259,71932,2701,1.0378,43.7638,27.9398,33.4729,48.1427,9.0847,19.3939,2.6734,178.2,182.01,2.1380471380471398,0.021380471380471396,2021Q4
AAPL,2021-09-30,83360,35255,23786,23248,20551,20551,26775,23786,16865,1.23,351002,287912,63090,653,1.0746,42.1953,24.6533,28.5341,32.5741,5.855,11.9347,0.9843,142.83,142.65,-0.12602394454946916,-0.0012602394454946917,2021Q3
AAPL,2021-06-30,81434,38079,24126,24369,21744,21744,26958,24126,16782,1.3,329840,265560,64280,-4730,1.0619,43.2927,26.7014,29.6265,33.827,6.5923,12.7882,1.1618,136.33,137.27,0.6895034108413391,0.0068950341084133915,2021Q2
AAPL,2021-03-31,89584,44328,27503,28011,23630,23630,3030,27503,16929,1.4,337158,267980,69178,2287,1.1417,42.5065,26.3775,30.7008,34.1583,7.0086,13.2887,1.305,119.9,123.0,2.585487906588819,0.02585487906588819,2021Q1
AAPL,2020-12-31,111439,24689,33534,33579,28755,28755,36200,33534,17144,1.68,354054,287830,66224,-2070,1.163,39.7778,25.8034,30.0918,43.4208,8.1216,17.3741,2.0605,133.72,129.41,-3.2231528567155268,-0.03223152856715527,2020Q4
AAPL,2020-09-30,64698,22680,14775,14901,12673,12673,17477,14775,17528,0.74,323888,258549,65339,4750,1.3636,38.1604,19.5879,22.8369,19.3958,3.9128,7.7272,1.0526,114.09,116.79,2.366552721535632,0.023665527215356322,2020Q3
AAPL,2020-06-30,59685,22370,13091,13137,11253,11253,15843,13091,17419,0.65,317344,245062,72282,-8010,1.4695,37.9995,18.854,21.9335,15.5682,3.546,6.7655,0.8701,361.78,364.11,0.6440378130355578,0.006440378130355578,2020Q2
AAPL,2020-03-31,58313,35217,12853,13135,11249,11249,15639,12853,17619,0.64,320400,241975,78425,1384,1.496,38.3619,19.2907,22.0414,14.3436,3.5109,6.7154,0.6684,254.81,240.91,-5.455044935442096,-0.054550449354420966,2020Q1
AAPL,2019-12-31,91819,24313,25569,25918,22236,22236,28385,25569,17818,1.25,340618,251087,89531,-8559,1.5978,38.3548,24.2172,27.8472,24.8361,6.5281,12.1768,1.5944,291.52,300.35,3.0289517014270175,0.030289517014270174,2019Q4
AAPL,2019-09-30,64040,20227,15625,16127,13686,13686,18804,15625,18596,0.77,338516,248028,90488,-1927,1.5401,37.9653,21.371,24.3988,15.1247,4.0429,7.5076,0.8982,218.82,224.59,2.6368704871584,0.026368704871584,2019Q3
AAPL,2019-06-30,53809,21821,11544,11911,10044,10044,14477,11544,18406,0.55,322239,225783,96456,12334,1.3154,37.5904,18.666,21.4537,10.413,3.1169,5.5372,0.5604,197.92,201.55,1.8340743734842482,0.01834074373484248,2019Q2
AAPL,2019-03-31,58015,32031,13415,13793,11561,11561,16455,13415,18803,0.61,341998,236138,105860,-4954,1.3006,37.6127,19.9276,23.1233,10.921,3.3804,5.8966,0.4864,189.95,191.24,0.6791260858120666,0.006791260858120666,2019Q1
GOOGL,2023-12-31,86310,48735,23697,24412,20687,20687,25260,23697,13599,1.83,402392,119013,283379,-6654,2.0966,56.4651,23.9683,27.4557,7.3001,5.141,6.974,0.5713,139.69,138.17,-1.0881237024840793,-0.010881237024840793,2023Q4
GOOGL,2023-09-30,76693,43464,21343,21197,19689,19689,25143,21343,13571,1.45,396711,123509,273202,4773,2.0431,56.6727,25.6725,27.8291,7.2068,4.9631,6.8607,1.6805,130.86,134.17,2.529420755005329,0.02529420755005329,2023Q3
GOOGL,2023-06-30,74604,42688,21838,21903,18368,18368,25235,21838,13643,1.35,383044,115903,267141,5,2.1721,57.2195,24.6207,29.2719,6.8758,4.7953,6.5402,1.6021,119.1,119.9,0.6717044500419911,0.006717044500419911,2023Q2
GOOGL,2023-03-31,69787,39175,17415,18205,15051,15051,20601,17415,13706,1.17,369491,108597,260894,4045,2.3526,56.1351,21.5671,24.9545,5.769,4.0734,5.4812,1.2564,100.89,104.36,3.439389434037069,0.03439389434037069,2023Q1
GOOGL,2022-12-31,76048,40706,18160,17147,13624,13624,19908,18160,14046,1.14,365264,109120,256144,-105,2.378,53.5267,17.915,23.8797,5.6189,3.7299,5.0302,1.1261,88.23,89.12,1.0087271902980852,0.010087271902980852,2022Q4
GOOGL,2022-09-30,69092,37934,17135,16233,13910,13910,21181,17135,13982,1.06,358255,104629,253626,4048,2.5176,54.9036,20.1326,24.8003,5.4845,3.8827,5.1849,1.1702,97.42,98.64,1.2523095873537249,0.01252309587353725,2022Q3
GOOGL,2022-06-30,69685,39581,19453,19041,16002,16002,23352,19453,14126,1.13,355185,99766,255419,-2950,2.8095,56.7999,22.9633,27.9156,6.265,4.5053,5.9233,0.9004,2234.03,2174.75,-2.653500624432089,-0.02653500624432089,2022Q2
GOOGL,2022-03-31,68011,38412,20094,18934,16436,16436,23876,20094,14242,1.23,357096,103092,254004,-59,2.871,56.4791,24.1667,29.5452,6.4708,4.6027,6.1147,1.0757,2838.77,2803.01,-1.2597005040915523,-0.012597005040915524,2022Q1
GOOGL,2021-12-31,75325,42337,21885,24402,20642,20642,23156,21885,14462,1.54,359268,107633,251635,-2774,2.9281,56.2058,27.4039,29.0541,8.2032,5.7456,7.747,1.2772,2924.01,2899.83,-0.8269465562703373,-0.008269465562703374,2021Q4
GOOGL,2021-09-30,65118,37497,21031,23064,18936,18936,24335,21031,14438,1.4,347403,102836,244567,89,2.98,57.5832,29.0795,32.2968,7.7427,5.4507,7.3153,1.3062,2687.07,2730.86,1.6296560938122178,0.01629656093812218,2021Q3
GOOGL,2021-06-30,61880,35653,19361,21985,18525,18525,22306,19361,14506,1.36,335387,97822,237565,-2992,3.152,57.6164,29.937,31.288,7.7979,5.5235,7.3543,1.1335,2445.45,2448.89,0.14066940644871312,0.0014066940644871311,2021Q2
GOOGL,2021-03-31,55314,31211,16437,21283,17930,17930,19190,16437,14558,1.31,327095,97082,230013,157,3.1042,56.4251,32.4149,29.7158,7.7952,5.4816,7.3514,0.9168,2046.47,2129.78,4.070912351512613,0.04070912351512613,2021Q1
GOOGL,2020-12-31,56898,30818,15651,18689,15227,15227,19376,15651,14665,1.11,319616,90702,222544,6336,3.0668,54.1636,26.7619,27.5071,6.8422,4.7642,6.4391,1.1696,1736.25,1726.13,-0.5828653707703321,-0.005828653707703321,2020Q4
GOOGL,2020-09-30,46173,25056,11213,13359,11247,11247,14691,11213,14639,0.82,299243,86323,212920,2387,3.4101,54.2655,24.3584,24.2848,5.2823,3.7585,4.9585,0.794,1466.02,1487.9,1.4924762281551487,0.014924762281551486,2020Q3
GOOGL,2020-06-30,38297,19744,6383,8277,6959,6959,9769,6383,14668,0.51,278492,71170,207322,-1902,3.4145,51.555,18.1711,16.6671,3.3566,2.4988,3.2928,0.5892,1397.17,1442.0,3.208628871218243,0.03208628871218243,2020Q2
GOOGL,2020-03-31,41159,22177,7977,7757,6836,6836,11085,7977,14774,0.49,273403,69744,203659,1146,3.6582,53.8813,16.6088,19.3809,3.3566,2.5003,3.2759,0.3686,1146.31,1102.1,-3.8567228760108554,-0.038567228760108554,2020Q1
GOOGL,2019-12-31,46075,25055,9266,10704,10671,10671,12679,9266,14902,0.77,275909,74467,210442,2466,3.3741,54.3787,23.1601,20.1107,5.2973,3.8676,5.1802,-0.6134,1339.71,1368.68,2.162408282389474,0.021624082823894743,2019Q4
GOOGL,2019-09-30,40499,22931,9177,8628,7068,7068,12097,9177,14894,0.51,263044,68075,194969,-555,3.7823,56.6212,17.4523,22.6598,3.6252,2.687,3.5508,1.7632,1225.95,1206.0,-1.6273094335005542,-0.016273094335005543,2019Q3
GOOGL,2019-06-30,38944,21648,9180,121476,9947,9947,12015,9180,14930,0.71,257101,64909,192192,-2561,3.9848,55.5875,25.5418,23.5723,5.1756,3.8689,5.0681,0.4361,1082.8,1100.0,1.5884743258219474,0.015884743258219473,2019Q2
GOOGL,2019-03-31,36339,20327,6608,8146,6657,6657,9221,6608,14949,0.47,245349,61877,183472,2447,3.959,55.9372,18.3192,18.1843,3.6283,2.7133,3.5497,0.4925,1176.89,1198.98,1.8769808563247132,0.018769808563247132,2019Q1
MSFT,2023-12-31,62020,42397,27032,26526,21870,21870,32991,27032,7468,2.93,470558,232290,238268,-63147,1.218,68.3602,35.2628,43.5859,9.1787,4.6477,7.7226,1.2187,376.04,370.87,-1.3748537389639441,-0.013748537389639442,2023Q4
MSFT,2023-09-30,56517,40215,26895,27284,22291,22291,30816,26895,7462,2.99,445785,225071,220714,45748,1.6635,71.1556,39.4412,47.5875,10.0995,5.0004,8.4866,2.7695,315.75,321.8,1.9160728424386417,0.019160728424386417,2023Q3
MSFT,2023-06-30,56189,39394,24254,22673,20081,20081,28128,24254,7472,2.68,411976,205753,206223,8142,1.7692,70.1098,35.7383,43.165,9.7375,4.8743,8.0902,2.6478,335.05,337.99,0.8774809729891053,0.008774809729891054,2023Q2
MSFT,2023-03-31,52857,36729,22352,22673,18299,18299,25901,22352,7464,2.45,380088,185405,194683,10916,1.9126,69.4875,34.6198,42.2877,9.3994,4.8144,7.7326,2.3929,284.05,287.23,1.1195212110543942,0.011195212110543942,2023Q1
MSFT,2022-12-31,52747,35259,20399,20339,16425,16425,24947,20399,7473,2.2,364552,181416,183136,-7238,1.9313,66.8455,31.1392,38.6733,8.9687,4.5055,7.2276,0.6591,239.82,239.58,-0.10007505629221111,-0.0010007505629221112,2022Q4
MSFT,2022-09-30,50122,34670,21518,21572,17556,17556,24308,21518,7485,2.35,359784,186218,173566,8953,1.8402,69.1712,35.0265,42.9313,10.1149,4.8796,8.0186,2.2599,237.5,240.74,1.3642105263157933,0.013642105263157933,2022Q3
MSFT,2022-06-30,51865,35436,20534,20487,16740,16740,24513,20534,7540,2.24,364840,198298,166542,1433,1.7846,68.3235,32.27161,39.5913,10.0515,4.5883,7.838,2.3502,260.26,259.58,-0.26127718435411007,-0.0026127718435411005,2022Q2
MSFT,2022-03-31,49360,33745,20364,20190,16728,16728,24137,20364,7534,2.22,344607,181683,162924,-8106,1.9877,68.3651,33.8898,41.2561,10.2674,4.8542,7.9242,2.6708,313.86,309.42,-1.4146434716115457,-0.014146434716115458,2022Q1
MSFT,2021-12-31,51728,34768,22247,22515,18765,18765,25743,22247,7555,2.48,340389,180379,160010,1439,2.2473,67.2131,36.2763,43.0077,11.7274,5.5128,9.0099,1.1443,339.32,334.75,-1.3468112695980174,-0.013468112695980175,2021Q4
MSFT,2021-09-30,45317,31671,20238,20524,20505,20505,23450,20238,7567,2.71,335418,183440,151975,4941,2.1648,69.8877,45.2479,44.6587,13.4921,6.1133,10.1501,2.4752,284.0,289.1,1.795774647887332,0.01795774647887332,2021Q3
MSFT,2021-06-30,46152,32161,19095,19405,16458,16458,22439,19095,7608,2.17,333779,191791,141988,522,2.08,69.685,35.6604,41.3742,11.5911,4.9308,8.5691,2.1294,271.4,271.6,0.07369196757555103,0.0007369196757555103,2021Q2
MSFT,2021-03-31,41706,28661,17048,17236,15457,15457,19984,17048,7597,2.03,308879,174374,134505,-730,2.294,68.7215,37.06118,40.8766,11.4918,5.0042,8.3772,2.257,231.85,242.35,4.528790166055639,0.04528790166055639,2021Q1
MSFT,2020-12-31,43076,28882,17897,18337,15463,15463,20658,17897,7616,2.03,304137,173901,130236,-2773,2.5779,67.0489,35.897,41.5475,11.8731,5.0842,8.3416,1.1006,221.68,217.69,-1.7998917358354425,-0.017998917358354426,2020Q4
MSFT,2020-09-30,37154,26152,15876,16124,13893,13893,18521,15876,7637,1.82,301001,177609,123392,3629,2.5276,70.3881,37.393,42.7303,11.2592,4.6156,7.6992,1.8892,207.26,212.46,2.5089259866834013,0.025089259866834013,2020Q3
MSFT,2020-06-30,38033,25694,13407,13422,11202,11202,16911,13407,7683,1.47,301311,183007,118304,1866,2.5158,67.5571,29.4534,35.251,9.4688,3.7178,6.2947,1.8087,198.44,204.7,3.154605926224547,0.03154605926224547,2020Q2
MSFT,2020-03-31,35021,24046,12975,12843,10752,10752,16093,12975,7675,1.4,285449,170948,114501,2846,2.9043,68.6617,30.7016,37.0492,9.3903,3.7667,6.0621,1.7946,160.23,152.11,-5.067715159458264,-0.050677151594582644,2020Q1
MSFT,2019-12-31,36906,24548,13891,14085,11649,11649,17094,13891,7691,1.51,282794,172685,110109,-4253,2.8014,66.5149,31.564,37.6389,10.5795,4.1193,6.7153,0.931,157.59,160.62,1.9227108319055786,0.019227108319055785,2019Q4
MSFT,2019-09-30,33055,22649,12686,12686,10678,10678,15657,12686,7710,1.38,278955,172894,106061,1761,2.8545,68.5191,32.3037,38.3785,10.0678,3.8279,6.1887,1.3532,137.73,137.07,-0.479198431714221,-0.00479198431714221,2019Q3
MSFT,2019-06-30,33717,23305,12405,12596,13187,13817,15329,12405,7753,1.7,286556,184226,102330,144,2.5288,69.1194,39.1108,36.7915,12.8867,4.6019,7.8033,1.5512,133.96,135.68,1.2839653627948633,0.012839653627948632,2019Q2
MSFT,2019-03-31,30571,20401,10341,10486,8809,8809,13267,10341,7744,1.14,263281,168417,94864,4571,2.9685,66.7332,28.8149,33.8262,9.2859,3.3459,5.4562,1.4208,117.94,119.02,0.9157198575546874,0.009157198575546874,2019Q1
NVDA,2023-12-31,22103,16791,13615,14106,12286,12286,14002,13615,2494,4.92,65728,22750,42978,17761,4.1713,75.9671,55.5852,61.598,28.5867,18.6922,23.8855,4.5088,495.22,481.68,-2.7341383627478737,-0.027341383627478736,2023Q4
NVDA,2023-09-30,18120,13400,10417,10522,9243,9243,10789,10417,2494,3.71,54148,20883,33265,363,3.5884,73.9514,51.0099,57.489,27.786,17.0699,22.1538,2.8354,434.99,447.82,2.94949309179521,0.0294949309179521,2023Q3
NVDA,2023-06-30,13507,9462,6800,6981,6188,6188,7165,6800,2499,2.48,49555,22054,27501,803,2.7866,70.0526,45.8133,50.3443,22.501,12.4871,17.2094,2.4207,408.22,424.13,3.897408260251817,0.03897408260251817,2023Q2
NVDA,2023-03-31,7192,4648,2140,2209,2043,2043,2524,2140,2490,0.82,44460,19940,24520,1690,3.4274,64.6274,28.4066,29.7553,8.332,4.5951,5.9695,1.0695,273.83,279.65,2.125406273965597,0.021254062739655966,2023Q1
NVDA,2022-12-31,6051,3833,1256,1288,1414,1414,1682,1256,2507,0.57,41182,19081,22101,589,3.5156,63.3449,23.368,20.7569,6.3979,3.4335,4.446,0.691,146.14,143.15,-2.045983303681388,-0.020459833036813882,2022Q4
NVDA,2022-09-30,5931,3177,6014,613,680,680,1007,601,2499,0.27,40488,19139,21349,213,3.3877,53.566,11.4652,10.1332,3.1852,1.6795,2.19,0.0493,122.2,125.12,2.3895253682487736,0.023895253682487738,2022Q3
NVDA,2022-06-30,6704,2915,499,475,656,656,877,499,2516,0.26,43476,19625,23851,874,3.6205,43.4815,9.7852,7.4433,2.7504,1.5089,1.9552,0.3372,155.42,145.23,-6.556427744177068,-0.06556427744177068,2022Q2
