stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share,Closing Price Before Release,Closing Price After Release,Price Change (%),Quarterly Returns,Quarter_label
NVDA,2022-03-31,8288,5431,1868,1805,1618,1618,2202,1868,2537,0.64,45212,18892,26320,1897,5.3173,65.5285,19.5222,22.5386,6.1474,3.5787,4.3416,0.54,276.9,267.12,-3.5319609967497194,-0.035319609967497195,2022Q1
NVDA,2021-12-31,7643,5000,2970,2865,3002,3002,3279,2970,2535,1.18,44187,17575,26612,702,6.6503,65.4193,39.2778,38.8591,11.2806,6.7939,7.993,1.0913,295.86,301.21,1.8082877036436036,0.018082877036436035,2021Q4
NVDA,2021-09-30,7103,4631,2671,2638,2464,2464,2969,2671,2538,0.97,40632,16834,23798,-4340,7.1445,65.1978,34.6896,37.6038,10.3538,6.0642,7.0923,0.5072,205.17,207.42,1.0966515572452114,0.010966515572452113,2021Q3
NVDA,2021-06-30,6507,4215,2444,2394,2374,2374,2730,2444,2532,0.94,38650,17503,21147,4650,5.8017,64.7764,36.4838,37.5596,11.2262,6.1423,7.3979,0.986,801.07,808.48,0.9250127953861669,0.009250127953861669,2021Q2
NVDA,2021-03-31,5661,3629,1956,2044,1912,1912,2237,1956,2528,0.76,30796,12022,18774,131,4.5272,64.1053,33.775,34.5522,10.1843,6.2086,7.729,0.6234,514.87,552.47,7.302814302639506,0.07302814302639506,2021Q1
NVDA,2020-12-31,5003,3157,1507,1471,1457,1457,1795,1507,2510,0.58,28791,11898,16893,-1404,4.0904,63.1021,29.1225,30.1219,8.6249,5.0606,6.3744,0.7153,525.83,524.54,-0.2453264363007202,-0.002453264363007202,2020Q4
NVDA,2020-09-30,4726,2960,1398,1348,1336,1336,1697,1398,2520,0.53,26881,11547,15334,-1023,3.9229,62.6322,28.2692,29.581,8.7127,4.9701,6.2732,0.3145,529.03,544.58,2.9393418142638543,0.029393418142638544,2020Q3
NVDA,2020-06-30,3866,2275,651,609,622,622,1055,651,2504,0.25,25180,11266,13914,-12220,6.0917,58.8464,16.089,16.8391,4.4703,2.4702,2.9798,0.5372,368.0,381.2,3.5869565217391273,0.03586956521739127,2020Q2
NVDA,2020-03-31,3080,2004,976,981,917,917,1083,976,2488,0.37,23254,10155,13099,4598,10.2911,65.0649,29.7727,31.6883,7.0005,3.9434,4.5717,0.3031,265.59,243.07,-8.479234910952966,-0.08479234910952967,2020Q1
NVDA,2019-12-31,3105,2015,990,1016,951,951,1096,990,2472,0.38,17315,5111,12204,1131,7.6738,64.8953,30.628,31.8841,7.7925,5.4923,6.6995,0.534,232.32,239.91,3.267045454545456,0.03267045454545456,2019Q4
NVDA,2019-09-30,3014,1916,927,959,899,899,1019,927,2472,0.36,15810,4596,11214,2660,8.4203,63.57,29.8275,30.7565,8.0168,5.6863,6.8085,0.6199,171.76,174.0,1.3041453190498424,0.013041453190498424,2019Q3
NVDA,2019-06-30,2579,1541,571,606,552,552,663,571,2464,0.23,14775,4439,10336,4333,8.6492,59.7519,21.4036,22.1404,5.3406,3.736,4.4787,0.334,164.23,166.17,1.1812701698836983,0.011812701698836983,2019Q2
NVDA,2019-03-31,2220,1296,358,389,394,394,449,358,2464,0.16,14021,4317,9704,1990,8.9848,58.3784,17.7478,16.1261,4.0602,2.8101,3.3698,0.2403,179.56,182.28,1.5148139897527284,0.015148139897527283,2019Q1
TSLA,2023-12-31,25167,4438,2064,2191,7943,7925,3296,2064,3485,2.26,109226,44119,65107,599,1.7259,17.6342,31.4897,8.2012,12.5349,7.45,11.9941,0.5938,248.48,248.42,-0.02414681262073498,-0.0002414681262073498,2023Q4
TSLA,2023-09-30,23350,4178,1764,2045,1878,1853,2999,1764,3493,0.53,106618,43251,63367,711,1.6902,17.8929,7.9358,7.5546,3.4638,1.9991,3.3154,0.2409,250.22,251.6,0.5515146670929564,0.005515146670929564,2023Q3
TSLA,2023-06-30,24927,4533,2399,2937,2614,2703,3553,2399,3478,0.78,93941,39723,54218,-891,1.5901,18.1851,10.8437,9.6241,5.0372,2.8855,4.9539,0.2886,257.5,279.82,8.66796116504854,0.0866796116504854,2023Q2
TSLA,2023-03-31,23329,4511,2664,2800,2539,2518,3710,2664,3468,0.73,90591,38697,51894,-154,1.5672,19.3365,10.7934,11.4193,5.1999,2.924,5.0679,0.1272,195.28,194.77,-0.26116345759933984,-0.0026116345759933986,2023Q1
TSLA,2022-12-31,24318,5777,3901,3983,3707,3719,4890,3901,3475,1.07,86833,38005,48828,-3225,1.532,23.7561,15.2932,16.0416,8.1492,4.5022,7.8728,0.4045,123.18,108.1,-12.242247118038652,-0.12242247118038652,2022Q4
TSLA,2022-09-30,21454,5382,3688,3636,3331,3292,4644,3688,3468,0.95,82338,36849,45489,1262,1.4624,25.0862,15.3445,17.1903,8.1837,4.4756,7.7829,0.9494,268.21,242.4,-9.623056560158076,-0.09623056560158076,2022Q3
TSLA,2022-06-30,16934,4234,2464,2474,2269,2259,3386,2464,3464,0.65,74426,33723,40703,847,1.4308,25.003,13.34,14.5506,6.0934,3.3118,5.6534,0.451,685.47,681.79,-0.5368579223014958,-0.005368579223014958,2022Q2
TSLA,2022-03-31,18756,5460,3603,3626,3280,3313,4483,3603,3472,0.95,68513,31276,37237,-104,1.354,29.1107,17.6637,19.2099,9.3856,4.9668,8.6089,0.6417,1093.99,1084.59,-0.8592400296163668,-0.008592400296163668,2022Q1
TSLA,2021-12-31,17719,4847,2613,2635,2343,2326,3461,2613,3386,0.68,66038,31091,34947,1450,1.3753,27.3548,13.1272,14.7469,7.5544,3.7711,6.4617,0.818,1070.34,1199.78,12.093353513836732,0.12093353513836731,2021Q4
TSLA,2021-09-30,13757,3660,2004,1882,1659,1618,2765,2004,3369,0.48,62131,31116,31015,-131,1.3851,26.6046,11.7613,14.5671,5.9486,2.8686,4.8329,0.3945,781.31,775.22,-0.7794601374614326,-0.007794601374614326,2021Q3
TSLA,2021-06-30,11958,2884,1312,1293,1178,1142,1993,1312,3357,0.34,57834,29945,27889,-898,1.5083,24.1178,9.5501,10.9171,4.5935,2.1361,3.5147,0.181,680.76,677.92,-0.4171807979317281,-0.0041718079793172805,2021Q2
TSLA,2021-03-31,10389,2215,594,533,464,438,1215,594,3399,0.13,55146,29501,25645,-2178,1.6606,21.3206,4.216,5.7176,1.9444,0.8759,1.4096,-0.2751,635.62,661.75,4.110946792108492,0.04110946792108492,2021Q1
TSLA,2020-12-31,10744,2066,575,379,296,270,1193,575,3249,0.08,52972,29108,23864,4898,1.8751,19.2293,2.513,5.3518,1.2828,0.5676,0.9057,0.5806,694.78,729.77,5.036126543654108,0.050361265436541076,2020Q4
TSLA,2020-09-30,8771,2063,809,555,369,300,1393,809,3315,0.09,52148,29073,23075,5897,1.6346,23.5207,3.4204,9.2236,2.1845,0.8076,1.3419,0.4304,419.07,448.16,6.941561075715281,0.06941561075715282,2020Q3
TSLA,2020-06-30,6036,1267,327,150,129,104,894,327,3108,0.03,45691,28799,16892,559,1.2499,20.9907,1.723,5.4175,1.2029,0.3383,0.609,0.1466,1009.35,1119.63,10.925843364541544,0.10925843364541545,2020Q2
TSLA,2020-03-31,5985,1234,283,70,68,16,836,283,2982,0.01,38135,27411,10724,1764,1.2425,20.6182,0.2673,4.7285,0.6773,0.1826,0.3275,-0.3001,502.13,481.56,-4.096548702527233,-0.04096548702527233,2020Q1
TSLA,2019-12-31,7384,1391,359,174,132,113,798,359,2661,0.05,37250,27210,10040,957,1.1346,18.838,1.5303,4.8619,1.7678,0.3847,0.6911,0.3816,414.7,430.26,3.752109959006512,0.03752109959006512,2019Q4
TSLA,2019-09-30,6303,1191,261,176,150,143,847,261,2766,0.05,34309,26842,7467,377,1.0783,18.8958,2.2688,4.1409,2.1796,0.4574,0.8244,0.1388,242.13,244.69,1.0572832775781615,0.010572832775781615,2019Q3
TSLA,2019-06-30,6350,921,-167,-370,-389,-408,454,-167,2655,-0.15,32795,25913,6882,2766,1.0619,14.5039,-6.4252,-2.6299,-5.9206,-1.2205,-2.1848,0.2392,223.46,227.17,1.6602523941644944,0.016602523941644944,2019Q2
TSLA,2019-03-31,4541,566,-522,-645,-668,-710,-14,-522,2595,-0.27,31872,25302,6570,-1594,0.8307,12.4642,-15.6353,-11.4953,-12.2174,-2.3104,-4.3787,-0.3545,279.86,289.18,3.3302365468448483,0.03330236546844848,2019Q1
AMZN,2023-12-31,169961,77408,13209,13686,10624,10624,27029,13209,10492,1.0,527854,325979,201875,23809,1.0451,45.5446,6.2508,7.7718,5.2627,2.0127,4.0832,2.7793,151.94,149.93,-1.3228906147163295,-0.013228906147163294,2023Q4
AMZN,2023-09-30,143083,68061,11188,12189,9883,9879,23319,11188,10558,0.94,486883,303910,182973,14,0.9847,47.5675,6.9044,7.8192,5.3992,2.029,4.0476,0.9417,127.12,129.46,1.8407803650094428,0.018407803650094427,2023Q3
AMZN,2023-06-30,134383,65010,7681,7563,6759,6750,19270,7681,10449,0.65,477607,309005,168602,333,0.9477,48.3767,5.023,5.7158,4.0035,1.4133,2.9133,0.5881,127.9,130.22,1.813917122752145,0.01813917122752145,2023Q2
AMZN,2023-03-31,127358,59567,4774,4119,3171,3172,15897,4774,10347,0.31,464378,309852,154526,-4519,0.9231,46.7713,2.4906,3.7485,2.0527,0.6831,1.4313,-0.8004,102.0,102.41,0.4019607843137221,0.004019607843137221,2023Q1
AMZN,2022-12-31,149204,63564,2737,-962,265,278,15422,2737,10189,0.03,462675,316632,146043,19075,0.9446,42.6021,0.1863,1.8344,0.1904,0.0601,0.1304,1.3137,84.0,85.82,2.1666666666666585,0.021666666666666584,2022Q4
AMZN,2022-09-30,127101,56833,2525,2944,2875,2872,12852,2525,10331,0.28,428362,290873,137489,-2522,0.9366,44.7148,2.2596,1.9866,2.0889,0.6705,1.4623,-0.3199,114.8,115.88,0.9407665505226466,0.009407665505226466,2022Q3
AMZN,2022-06-30,121234,54810,3317,-2653,-2016,-2028,13033,3317,10175,-0.2,419728,288326,131402,1101,0.9528,42.8919,-1.6728,2.736,-1.5434,-0.4832,-1.0704,-0.5038,108.92,109.56,0.5875872199779659,0.00587587219977966,2022Q2
AMZN,2022-03-31,116444,49945,3669,-5265,-3843,-3844,12862,3669,10171,-0.38,410767,276766,134001,122,0.9596,39.7178,-3.3012,3.1509,-2.8686,-0.9358,-2.1172,-1.6254,3326.02,3271.2,-1.6482161863127751,-0.016482161863127752,2022Q1
AMZN,2021-12-31,137412,54577,3460,14934,14322,14323,13399,3460,10296,1.38,420549,282304,138245,6300,1.1358,43.2101,10.4234,2.518,10.3606,3.4058,7.6598,0.5437,3372.89,3408.09,1.0436154158599977,0.010436154158599976,2021Q4
AMZN,2021-09-30,110812,47882,4852,4315,3160,3156,13800,4852,10309,0.31,382406,261842,120564,-10490,1.1172,43.2473,2.8481,4.3786,2.6177,0.8253,1.8497,-0.72,3301.12,3283.26,-0.5410284994183693,-0.005410284994183693,2021Q3
AMZN,2021-06-30,113080,48904,7702,8634,7766,7778,15740,7702,10286,0.76,360319,245516,114803,6512,1.1957,42.4953,6.8783,6.8111,6.7751,2.1586,4.7116,-0.0248,3448.14,3432.97,-0.43994733392495877,-0.004399473339249588,2021Q2
AMZN,2021-03-31,108518,46115,8865,10268,8112,8107,16373,8865,10260,0.79,323077,219757,103320,8222,1.052,36.8532,7.4707,8.1692,7.8465,2.5093,5.9968,-0.6797,3055.29,3161.0,3.459900696824198,0.03459900696824198,2021Q1
AMZN,2020-12-31,125555,46271,6873,7765,7199,7222,14420,6783,10198,0.71,321195,227791,93404,12175,1.0502,40.6043,5.7521,5.4741,7.732,2.2485,5.7674,1.6958,3285.85,3186.63,-3.0196144072309994,-0.030196144072309996,2020Q4
AMZN,2020-09-30,96145,39039,6194,6809,6240,6331,12717,6194,10240,0.62,282179,199404,82775,-7640,1.1085,40.7729,6.5848,6.4424,7.6484,2.2436,5.4717,0.2039,3144.88,3221.26,2.428709521507978,0.024287095215079782,2020Q3
AMZN,2020-06-30,88912,36252,5843,6221,5237,5243,11591,5843,10180,0.52,258314,184586,73728,10337,1.1812,41.3442,5.8968,6.5717,7.1113,2.0297,4.9066,1.3757,2680.38,2878.7,7.398950895022336,0.07398950895022337,2020Q2
AMZN,2020-03-31,75452,31195,3989,3383,2639,2535,9351,3989,10120,0.25,221238,155966,65272,-8905,1.0787,38.2676,3.3598,5.2868,3.8837,1.1458,2.8577,-0.2336,1963.95,1907.7,-2.8641258687848468,-0.02864125868784847,2020Q1
AMZN,2019-12-31,87437,33460,3880,4054,3267,3268,10050,3880,10080,0.32,225248,163188,62060,12856,1.097,40.9811,3.7375,4.4375,5.2659,1.4508,3.8234,1.5594,1846.89,1898.01,2.767896301349831,0.027678963013498308,2019Q4
AMZN,2019-09-30,69981,28679,3157,2632,2138,2134,8720,3157,10080,0.21,199099,142591,56508,589,1.0959,42.6897,3.0494,4.5112,3.7765,1.0718,2.702,0.446,1725.45,1735.65,0.5911501347474598,0.005911501347474598,2019Q3
AMZN,2019-06-30,63404,27067,3084,2889,2632,2625,8286,3084,10060,0.26,191351,138290,53061,-542,1.1021,43.1826,4.1401,4.864,4.9471,1.3718,3.4363,0.6438,1893.63,1922.19,1.5082143819014244,0.015082143819014245,2019Q2
AMZN,2019-03-31,59700,25780,4420,4401,3565,3561,9274,4420,10040,0.35,178102,129692,48410,-8666,1.0901,38.1264,5.9648,7.4037,7.3559,1.9994,4.9643,-0.0872,1780.75,1814.19,1.8778604520567208,0.018778604520567208,2019Q1
META,2023-12-31,40112,32416,16384,16808,14018,14018,19556,16384,2629,5.3,229623,76455,153168,4927,2.671,80.8137,34.9472,40.8456,9.152,6.1048,8.1712,4.5487,353.96,346.29,-2.1669115154254603,-0.021669115154254605,2023Q4
META,2023-09-30,34146,27936,13748,14020,11583,11583,16607,13748,2641,4.39,216274,73401,142873,8096,2.5672,81.8134,33.922,40.2624,8.1072,5.3557,7.183,5.1883,300.21,306.82,2.2017920788781233,0.022017920788781235,2023Q3
META,2023-06-30,31999,26054,9392,9293,7788,7788,12015,9392,2612,2.98,206688,72655,134033,17384,2.3248,81.4213,24.3383,29.3509,5.8105,3.768,5.1097,4.2614,281.53,286.02,1.594856676020321,0.01594856676020321,2023Q2
META,2023-03-31,28645,22537,7227,7307,5709,5709,9751,7227,2596,2.2,184491,59696,124795,-3176,2.0678,78.6769,19.9302,25.2295,4.5747,3.0945,4.2377,2.7639,207.84,213.07,2.516358737490372,0.025163587374903724,2023Q1
META,2022-12-31,32165,23829,6398,6149,4653,4653,8774,6398,2702,1.77,185727,60014,125713,345,2.2034,74.0836,14.466,19.8912,3.7013,2.5053,3.4305,2.0156,120.34,124.74,3.656307129798896,0.03656307129798896,2022Q4
META,2022-09-30,27714,21998,5664,5576,4395,4395,7839,5664,2687,1.64,178894,54800,124094,1773,2.5704,79.3751,15.8584,20.4373,3.5417,2.4568,3.2795,0.1733,136.41,138.61,1.612784986437957,0.01612784986437957,2022Q3
META,2022-06-30,28822,23630,8358,8186,6687,6687,10337,8358,2713,2.46,169779,44012,125767,-1875,2.52,81.986,23.201,28.9987,5.317,3.9387,5.317,1.7548,163.94,160.03,-2.38501890935708,-0.023850189093570798,2022Q2
META,2022-03-31,27908,21903,8524,8908,7465,7465,10680,8524,2742,2.72,164218,40990,123228,-1512,2.8106,78.4829,26.7486,30.5432,6.0579,4.5458,6.0579,3.1951,227.85,224.85,-1.316655694535879,-0.013166556945358789,2022Q1
META,2021-12-31,33671,27323,12585,12703,10285,10285,14599,12585,2859,3.64,165987,41108,124879,2061,3.1543,81.147,30.5456,37.3764,8.236,6.1963,8.236,4.4543,344.36,338.54,-1.6900917644325684,-0.016900917644325684,2021Q4
META,2021-09-30,29010,23239,10423,10565,9194,9194,12418,10423,2859,3.22,169585,36225,133360,-1707,4.2343,80.1069,31.6925,35.929,6.8941,5.4215,6.8941,3.4558,339.61,343.01,1.0011483760784363,0.010011483760784362,2021Q3
META,2021-06-30,29077,23678,12367,12513,10394,10394,14353,12367,2877,3.61,170609,32382,138277,-3380,5.4254,81.4321,35.7465,42.5319,7.5195,6.0923,7.5195,3.0062,351.89,354.39,0.7104492881298133,0.007104492881298133,2021Q2
META,2021-03-31,26171,21040,11378,11503,9497,9497,13350,11378,2882,3.3,163523,29866,133657,1937,6.0802,80.3943,36.2883,43.4756,7.1055,5.8077,7.1055,2.7654,288.0,298.66,3.7013888888888977,0.03701388888888898,2021Q1
META,2020-12-31,28071,22861,12775,13055,11220,11220,14638,12775,2888,3.87,159316,31026,128290,5975,5.0511,81.4399,39.9701,45.5096,8.7458,7.0426,8.7458,3.2693,271.87,268.94,-1.0777209695810523,-0.010777209695810523,2020Q4
META,2020-09-30,21470,17276,8040,8133,7846,7846,9738,8040,2891,2.71,146437,28706,117731,-9590,5.509,80.4658,36.544,37.4476,6.6643,5.3579,6.6643,2.1122,261.79,266.63,1.8488101149776441,0.01848810114977644,2020Q3
META,2020-06-30,18687,14858,5963,6131,5178,5178,7667,5963,2879,1.8,139691,29244,110447,-2358,6.0249,79.5098,27.7091,31.9099,4.6882,3.7068,4.6882,0.2061,220.64,237.55,7.664068165337213,0.07664068165337212,2020Q2
META,2020-03-31,17737,14278,5893,5861,4902,4902,7490,5893,2868,1.71,138371,33067,105304,4648,4.6021,80.4984,27.6371,33.2243,4.6551,3.5427,4.6551,2.5952,165.95,159.6,-3.8264537511298555,-0.03826453751129855,2020Q1
META,2019-12-31,21082,17590,8858,9169,7349,7349,10326,8858,2876,2.55,133376,32322,101054,3199,4.3995,83.4361,34.8591,42.0169,7.2723,5.51,7.2723,1.7287,204.41,209.78,2.6270730394794795,0.026270730394794797,2019Q4
META,2019-09-30,17652,14497,7185,7329,6091,6091,8601,7285,2874,2.12,124418,30419,93999,2082,4.6578,82.1267,34.506,40.7036,6.4799,4.8956,6.4799,2.0106,177.1,175.81,-0.7284020327498544,-0.0072840203274985435,2019Q3
META,2019-06-30,16886,13579,4626,4832,2616,2616,6128,4626,2875,0.91,117006,28244,88762,2801,4.4658,80.4157,15.4921,27.3955,2.9472,2.2358,2.9472,1.7293,193.0,193.0,0.0,0.0,2019Q2
META,2019-03-31,15077,12261,3317,3482,2429,2429,4672,3317,2869,0.85,109477,22961,86516,1073,5.3795,81.3226,16.1106,22.0004,2.8076,2.2187,2.6096,1.9069,166.69,168.7,1.2058311836342859,0.012058311836342858,2019Q1
